unit,year,bribery_official_corruption,racial_profiling,conduct_unbecoming_off_duty,criminal_misconduct,false_arrest,operation_personnel_violations,excessive_force,domestic,use_of_force,money_property,supervisory_responsibilities,traffic,incident,illegal_search,medical,lockup_procedures,unknown,first_amendment,verbal_abuse,drug_alcohol_abuse
4,2009,0,0,0.00775193798449612403,0.00258397932816537468,0.12661498708010335917,0.33074935400516795866,0,0.01550387596899224806,0.23255813953488372093,0,0.00516795865633074935,0.02583979328165374677,0,0.14987080103359173127,0,0.05943152454780361757,0.00258397932816537468,0,0.04134366925064599483,0
6,2017,0,0,0.03821656050955414013,0,0.01910828025477707006,0.50318471337579617834,0,0,0.22929936305732484076,0,0.01910828025477707006,0.01910828025477707006,0,0.13375796178343949045,0,0.01910828025477707006,0.00636942675159235669,0,0.01273885350318471338,0
19,2011,0.01324503311258278146,0,0.00662251655629139073,0,0.0463576158940397351,0.37086092715231788079,0,0.05298013245033112583,0.21192052980132450331,0,0.00662251655629139073,0.03311258278145695364,0,0.13245033112582781457,0,0.06622516556291390728,0,0,0.05298013245033112583,0.00662251655629139073
20,2007,0,0,0,0,0.09195402298850574713,0.39080459770114942529,0,0.02298850574712643678,0.16091954022988505747,0,0.01149425287356321839,0.06896551724137931034,0,0.13793103448275862069,0,0.11494252873563218391,0,0,0,0
16,2005,0,0,0.07453416149068322981,0.03105590062111801242,0.01863354037267080745,0.4409937888198757764,0,0.04347826086956521739,0.18633540372670807453,0,0.02484472049689440994,0,0,0.06832298136645962733,0,0.09937888198757763975,0,0,0.00621118012422360248,0.00621118012422360248
22,2016,0,0,0.02739726027397260274,0,0.15068493150684931507,0.36986301369863013699,0,0.02739726027397260274,0.1369863013698630137,0.01369863013698630137,0,0.05479452054794520548,0,0.02739726027397260274,0,0.15068493150684931507,0.01369863013698630137,0,0.02739726027397260274,0
20,2001,0,0,0.02597402597402597403,0.01298701298701298701,0,0.29220779220779220779,0,0.07142857142857142857,0.20779220779220779221,0,0.00649350649350649351,0.07142857142857142857,0,0.05844155844155844156,0,0.11688311688311688312,0,0,0.13636363636363636364,0
8,2004,0,0,0.0308123249299719888,0.00560224089635854342,0.02801120448179271709,0.28291316526610644258,0,0.08123249299719887955,0.17927170868347338936,0,0.05322128851540616246,0.01400560224089635854,0,0.2268907563025210084,0,0.04481792717086834734,0,0,0.05042016806722689076,0.00280112044817927171
10,2002,0,0,0.0260115606936416185,0,0.07514450867052023121,0.30057803468208092486,0,0.03757225433526011561,0.27456647398843930636,0,0.01445086705202312139,0.02890173410404624277,0,0.11849710982658959538,0,0.03179190751445086705,0,0,0.09248554913294797688,0
3,2003,0,0,0.00617283950617283951,0,0.0524691358024691358,0.32098765432098765432,0,0.03086419753086419753,0.34567901234567901235,0,0.00925925925925925926,0.04320987654320987654,0,0.06481481481481481481,0,0.02777777777777777778,0,0,0.0987654320987654321,0
17,2003,0,0,0.01298701298701298701,0.00649350649350649351,0,0.33766233766233766234,0,0.1038961038961038961,0.22077922077922077922,0,0.00649350649350649351,0.02597402597402597403,0,0.0974025974025974026,0,0.05194805194805194805,0,0,0.13636363636363636364,0
17,2005,0,0,0.04166666666666666667,0.01041666666666666667,0.02083333333333333333,0.38541666666666666667,0,0.04166666666666666667,0.21875,0,0.05208333333333333333,0.03125,0,0.11458333333333333333,0,0.04166666666666666667,0,0,0.03125,0.01041666666666666667
25,2002,0,0,0.00862068965517241379,0.0057471264367816092,0.05747126436781609195,0.25862068965517241379,0,0.03735632183908045977,0.29022988505747126437,0,0.03160919540229885057,0.04597701149425287356,0,0.11781609195402298851,0,0.05747126436781609195,0,0,0.08333333333333333333,0.0057471264367816092
16,2013,0,0,0.08333333333333333333,0.01041666666666666667,0.0625,0.26041666666666666667,0,0.11458333333333333333,0.23958333333333333333,0,0,0,0,0.13541666666666666667,0,0.07291666666666666667,0,0,0.02083333333333333333,0
8,2018,0,0,0.16666666666666666667,0,0.08333333333333333333,0.375,0,0,0,0,0,0,0,0.29166666666666666667,0,0,0.04166666666666666667,0,0,0.04166666666666666667
5,2016,0,0,0.00869565217391304348,0,0.0782608695652173913,0.42608695652173913043,0.00869565217391304348,0.01739130434782608696,0.14782608695652173913,0.00869565217391304348,0,0.02608695652173913043,0,0.0782608695652173913,0,0.18260869565217391304,0.00869565217391304348,0,0.00869565217391304348,0
9,2002,0,0,0.00923787528868360277,0.00461893764434180139,0.05542725173210161663,0.23787528868360277136,0,0.07390300230946882217,0.28868360277136258661,0,0.01385681293302540416,0.04849884526558891455,0,0.11316397228637413395,0,0.04387990762124711316,0,0,0.11085450346420323326,0
5,2015,0.01379310344827586207,0,0,0.00689655172413793103,0.12413793103448275862,0.31724137931034482759,0,0,0.15862068965517241379,0,0,0.08965517241379310345,0,0.13103448275862068966,0,0.14482758620689655172,0,0,0.01379310344827586207,0
1,2001,0.00135135135135135135,0,0.02972972972972972973,0.02297297297297297297,0.00405405405405405405,0.28243243243243243243,0,0.06621621621621621622,0.12432432432432432432,0,0.04054054054054054054,0.12297297297297297297,0,0.07297297297297297297,0,0.12297297297297297297,0,0,0.09864864864864864865,0.01081081081081081081
25,2013,0.00581395348837209302,0,0.00581395348837209302,0,0.15697674418604651163,0.31395348837209302326,0,0.02906976744186046512,0.1511627906976744186,0,0.00581395348837209302,0,0,0.11627906976744186047,0,0.18023255813953488372,0,0,0.03488372093023255814,0
3,2017,0,0,0.00900900900900900901,0,0.08108108108108108108,0.52252252252252252252,0,0,0.16216216216216216216,0,0.04504504504504504505,0.02702702702702702703,0,0.11711711711711711712,0,0.02702702702702702703,0,0,0.00900900900900900901,0
12,2008,0.00374531835205992509,0,0.02621722846441947566,0.00374531835205992509,0.0599250936329588015,0.37453183520599250936,0,0,0.2958801498127340824,0,0,0.03370786516853932584,0,0.07490636704119850187,0,0.11235955056179775281,0,0,0.01498127340823970037,0
8,2013,0,0,0.03478260869565217391,0,0.08695652173913043478,0.30434782608695652174,0,0.05217391304347826087,0.26521739130434782609,0,0.03043478260869565217,0.03478260869565217391,0,0.13478260869565217391,0,0.03043478260869565217,0,0,0.01739130434782608696,0.00869565217391304348
18,2012,0,0,0.00636942675159235669,0,0.16560509554140127389,0.33757961783439490446,0,0.02547770700636942675,0.22292993630573248408,0,0.00636942675159235669,0.01910828025477707006,0,0.06369426751592356688,0,0.0509554140127388535,0,0.01910828025477707006,0.08280254777070063694,0
14,2006,0,0,0.01098901098901098901,0,0.1043956043956043956,0.31318681318681318681,0,0.02747252747252747253,0.31868131868131868132,0,0.02747252747252747253,0.02747252747252747253,0,0.07142857142857142857,0,0.06593406593406593407,0,0,0.02747252747252747253,0.00549450549450549451
10,2016,0.01030927835051546392,0.02061855670103092784,0.01030927835051546392,0.03092783505154639175,0.06185567010309278351,0.14432989690721649485,0,0,0.12371134020618556701,0,0,0.01030927835051546392,0,0.10309278350515463918,0,0.47422680412371134021,0.01030927835051546392,0,0,0
4,2007,0.00769230769230769231,0,0.00512820512820512821,0.0025641025641025641,0.15128205128205128205,0.32564102564102564103,0,0.01794871794871794872,0.25897435897435897436,0,0.00512820512820512821,0.02564102564102564103,0,0.11794871794871794872,0,0.06153846153846153846,0,0.00512820512820512821,0.01538461538461538462,0
18,2003,0,0,0.00900900900900900901,0.003003003003003003,0.01801801801801801802,0.36936936936936936937,0,0.05105105105105105105,0.25825825825825825826,0,0.05405405405405405405,0.06006006006006006006,0,0.02402402402402402402,0,0.04804804804804804805,0,0,0.1021021021021021021,0.003003003003003003
24,2013,0,0,0.05747126436781609195,0.01149425287356321839,0.18390804597701149425,0.18390804597701149425,0,0.06896551724137931034,0.16091954022988505747,0,0,0.04597701149425287356,0,0.20689655172413793103,0,0.04597701149425287356,0,0,0.03448275862068965517,0
10,2006,0.01190476190476190476,0,0.00396825396825396825,0,0.26587301587301587302,0.21428571428571428571,0,0.03571428571428571429,0.21825396825396825397,0,0.01587301587301587302,0.01587301587301587302,0,0.1468253968253968254,0,0.06746031746031746032,0,0,0.00396825396825396825,0
9,2004,0,0.01034482758620689655,0.00689655172413793103,0.00689655172413793103,0.06206896551724137931,0.43793103448275862069,0,0.0206896551724137931,0.23448275862068965517,0,0.01034482758620689655,0.01034482758620689655,0,0.1206896551724137931,0.00344827586206896552,0.01724137931034482759,0,0,0.05517241379310344828,0.00344827586206896552
18,2018,0,0,0,0,0.125,0.70833333333333333333,0,0,0,0,0,0.125,0,0,0,0.04166666666666666667,0,0,0,0
5,2018,0,0,0,0,0.05882352941176470588,0.35294117647058823529,0,0,0.05882352941176470588,0.17647058823529411765,0,0,0,0.05882352941176470588,0,0.29411764705882352941,0,0,0,0
3,2013,0.00806451612903225806,0,0.02419354838709677419,0,0.22177419354838709677,0.24596774193548387097,0,0.04032258064516129032,0.18145161290322580645,0,0.00403225806451612903,0,0,0.16129032258064516129,0,0.09677419354838709677,0,0,0.01612903225806451613,0
11,2017,0,0,0.00636942675159235669,0,0.03821656050955414013,0.39490445859872611465,0,0,0.19745222929936305732,0.04458598726114649682,0.00636942675159235669,0.03184713375796178344,0,0.12738853503184713376,0,0.14649681528662420382,0.00636942675159235669,0,0,0
12,2001,0,0,0.03090909090909090909,0.01636363636363636364,0.00909090909090909091,0.39636363636363636364,0,0.07090909090909090909,0.18,0,0.02,0.06,0,0.06727272727272727273,0,0.06545454545454545455,0,0,0.08181818181818181818,0.00181818181818181818
10,2017,0.02803738317757009346,0,0,0,0.01869158878504672897,0.31775700934579439252,0,0,0.24299065420560747664,0,0,0.07476635514018691589,0,0.19626168224299065421,0,0.12149532710280373832,0,0,0,0
6,2006,0,0,0.01818181818181818182,0,0.08727272727272727273,0.39636363636363636364,0,0.02545454545454545455,0.19636363636363636364,0,0.01454545454545454545,0.02909090909090909091,0,0.17090909090909090909,0,0.04363636363636363636,0,0,0.01454545454545454545,0.00363636363636363636
3,2009,0,0,0,0,0.07272727272727272727,0.38484848484848484848,0,0.02121212121212121212,0.20606060606060606061,0,0.0030303030303030303,0.01212121212121212121,0,0.19090909090909090909,0,0.09090909090909090909,0,0.00606060606060606061,0.01212121212121212121,0
7,2003,0,0.00362976406533575318,0.00725952813067150635,0.00544464609800362976,0.06170598911070780399,0.34664246823956442831,0,0.01996370235934664247,0.23411978221415607985,0,0.02177858439201451906,0.02359346642468239564,0,0.13067150635208711434,0,0.06896551724137931034,0,0,0.0762250453720508167,0
25,2015,0,0,0.01333333333333333333,0,0.17333333333333333333,0.28,0,0,0.07333333333333333333,0,0,0.06,0,0.24,0,0.12,0,0,0.04,0
6,2015,0.00975609756097560976,0,0.01463414634146341463,0,0.22439024390243902439,0.25853658536585365854,0,0.00975609756097560976,0.19512195121951219512,0,0.00487804878048780488,0.03902439024390243902,0,0.17073170731707317073,0,0.07317073170731707317,0,0,0,0
4,2010,0,0,0,0,0.05901639344262295082,0.38360655737704918033,0,0.01967213114754098361,0.28852459016393442623,0,0.00655737704918032787,0.01311475409836065574,0,0.11803278688524590164,0,0.09836065573770491803,0,0,0.01311475409836065574,0
4,2001,0.0019801980198019802,0,0.01980198019801980198,0.01188118811881188119,0.03564356435643564356,0.32475247524752475248,0,0.05940594059405940594,0.22376237623762376238,0,0.02574257425742574257,0.05346534653465346535,0,0.11881188118811881188,0,0.07722772277227722772,0,0,0.04752475247524752475,0
3,2004,0,0,0.00401606425702811245,0.0160642570281124498,0.06024096385542168675,0.32128514056224899598,0,0.0240963855421686747,0.27309236947791164659,0,0.0240963855421686747,0.01204819277108433735,0,0.17670682730923694779,0,0.0562248995983935743,0,0,0.0321285140562248996,0
2,2005,0,0,0.01162790697674418605,0,0.03100775193798449612,0.50387596899224806202,0,0.02713178294573643411,0.20542635658914728682,0,0.01162790697674418605,0.00775193798449612403,0,0.05813953488372093023,0,0.10465116279069767442,0,0,0.01937984496124031008,0.01937984496124031008
16,2003,0,0,0.05181347150259067358,0,0.03108808290155440415,0.35233160621761658031,0,0.07772020725388601036,0.12435233160621761658,0,0.03108808290155440415,0.03108808290155440415,0,0.10362694300518134715,0,0.06217616580310880829,0,0,0.12435233160621761658,0.01036269430051813472
11,2009,0.02956989247311827957,0,0.02150537634408602151,0,0.11559139784946236559,0.20698924731182795699,0,0.00537634408602150538,0.30376344086021505376,0,0.00537634408602150538,0.01881720430107526882,0,0.16935483870967741935,0,0.1129032258064516129,0,0,0.01075268817204301075,0
7,2014,0.00766283524904214559,0,0,0,0.19923371647509578544,0.20306513409961685824,0,0.01915708812260536398,0.2490421455938697318,0,0.0038314176245210728,0.02681992337164750958,0,0.17624521072796934866,0,0.08812260536398467433,0,0,0.02681992337164750958,0
18,2005,0,0,0.00429184549356223176,0,0.06866952789699570815,0.39914163090128755365,0,0.0429184549356223176,0.30472103004291845494,0,0.03004291845493562232,0.01716738197424892704,0,0.06008583690987124464,0,0.03433476394849785408,0,0.01716738197424892704,0.0214592274678111588,0
